#"Step","Potential Energy (kJ/mole)","Temperature (K)","Harmonic Bond Energy (kJ/mol)","Harmonic Angle Energy (kJ/mol)","Periodic Torsion Energy (kJ/mol)","LJ 12-10 Contact Energy (kJ/mol)","LJ 12 Repulsion Energy (kJ/mol)"
100,-160.71469116210938,5.594694754110317,1.3899582624435425,0.7648688554763794,0.20750200748443604,-163.08502197265625,0.008013101294636726
200,-157.56277465820312,10.560532408635071,1.687551736831665,1.4997026920318604,0.5667471885681152,-161.32571411132812,0.008920934051275253
300,-154.78988647460938,15.125562361027654,3.3107802867889404,1.860365629196167,0.7246739268302917,-160.6943359375,0.008638900704681873
400,-150.58892822265625,16.993399219307946,4.95301628112793,2.5792429447174072,1.2354254722595215,-159.3642578125,0.007634295150637627
500,-149.1025390625,24.238874775241545,4.7639617919921875,2.821965217590332,1.3705787658691406,-158.0673828125,0.00833757221698761
600,-147.10487365722656,25.937421828887892,5.286563873291016,3.8007404804229736,1.0193216800689697,-157.2187042236328,0.007206174544990063
700,-144.260009765625,29.58060619358126,7.544063568115234,3.4247548580169678,1.4667456150054932,-156.7021484375,0.006557971239089966
800,-139.45135498046875,30.662878570643123,8.596840858459473,4.692352771759033,1.9346537590026855,-154.6832275390625,0.008035591803491116
900,-140.3242950439453,33.345356526432255,7.900668621063232,5.480735778808594,2.274951934814453,-155.98838806152344,0.007723374292254448
1000,-136.50985717773438,37.64603611595217,9.285402297973633,6.25528621673584,2.2525010108947754,-154.31045532226562,0.007425118237733841
1100,-133.7132568359375,40.146453065943305,11.542253494262695,7.368162155151367,1.8878986835479736,-154.5189971923828,0.007425726391375065
1200,-131.3273162841797,43.75031422241224,11.936808586120605,5.969422340393066,2.904273509979248,-152.1468505859375,0.00903081800788641
1300,-130.26243591308594,48.24935664846102,10.883766174316406,9.146069526672363,2.725929021835327,-153.02609252929688,0.007892558351159096
1400,-124.84379577636719,46.00945356335978,11.438823699951172,8.69180679321289,3.155500888824463,-148.13766479492188,0.007747731637209654
1500,-128.12261962890625,55.67819315096035,13.50058650970459,7.286599159240723,3.0850605964660645,-152.00401306152344,0.009141704067587852
1600,-122.65188598632812,52.17692695206969,15.652030944824219,8.728214263916016,3.5789127349853516,-150.6202392578125,0.009202972054481506
1700,-122.35538482666016,61.17021349339216,16.348033905029297,7.847296714782715,3.6414690017700195,-150.20236206054688,0.010181833058595657
1800,-118.09736633300781,62.595541194902054,16.611530303955078,10.795696258544922,5.019275665283203,-150.53399658203125,0.01012970507144928
1900,-112.12289428710938,61.827457810533765,14.29501724243164,12.767035484313965,6.870930194854736,-146.065673828125,0.009804191067814827
2000,-118.43928527832031,73.84336949254494,12.788108825683594,8.386613845825195,6.824982643127441,-146.44781494140625,0.00881514698266983
2100,-113.26719665527344,73.83082410829736,14.05395793914795,12.220315933227539,5.3877458572387695,-144.93646240234375,0.007245863787829876
2200,-112.97172546386719,70.35059592139066,15.243395805358887,10.189769744873047,4.967902183532715,-143.37985229492188,0.0070475805550813675
2300,-106.45211791992188,64.48702192069429,19.18862533569336,10.407159805297852,5.146651268005371,-141.2029266357422,0.008366805501282215
2400,-109.15259552001953,65.84130212421385,15.405620574951172,12.143882751464844,4.825855255126953,-141.53912353515625,0.011174905113875866
2500,-109.99671936035156,73.4806191096267,15.811737060546875,11.093006134033203,4.97511100769043,-141.8889923095703,0.01241787988692522
2600,-104.72402954101562,66.30517069376464,19.953357696533203,13.817533493041992,5.53676176071167,-144.04054260253906,0.008858444169163704
2700,-108.14384460449219,72.74628639327993,20.65222930908203,14.389484405517578,5.060294151306152,-148.25326538085938,0.007413072511553764
2800,-102.93295288085938,75.94425060340693,18.212997436523438,12.507465362548828,5.978710651397705,-139.6409912109375,0.008861817419528961
2900,-103.83572387695312,76.89508080791207,21.02068328857422,16.322555541992188,3.41325044631958,-144.5976104736328,0.0053955065086483955
3000,-96.86140441894531,84.79356870470107,23.008853912353516,13.216525077819824,5.377331256866455,-138.47677612304688,0.012665651738643646
3100,-93.53376770019531,76.60213533254439,21.688888549804688,12.747697830200195,8.862237930297852,-136.84796142578125,0.015363376587629318
3200,-85.77876281738281,70.16307946564272,30.072792053222656,13.570531845092773,7.84507942199707,-137.28030395507812,0.013133407570421696
3300,-94.1966781616211,86.40341152812749,22.3637752532959,16.28058433532715,6.525432586669922,-139.37246704101562,0.006008286029100418
3400,-98.43618774414062,92.98279408923018,16.25760841369629,15.400578498840332,8.199817657470703,-138.29965209960938,0.005469103343784809
3500,-96.45362854003906,86.57218398501102,20.246334075927734,10.21462631225586,5.692512035369873,-132.61300659179688,0.0059114922769367695
3600,-89.64559173583984,83.26793527953848,23.20901107788086,16.843421936035156,5.88824987411499,-135.59291076660156,0.006626292131841183
3700,-88.44847869873047,82.13777059941182,22.996414184570312,18.925739288330078,6.244960308074951,-136.62161254882812,0.0060250237584114075
3800,-97.48252868652344,94.4729754533076,23.400588989257812,12.623451232910156,7.9087982177734375,-141.4227294921875,0.007366258185356855
3900,-100.41743469238281,94.39199679018716,23.742778778076172,14.981460571289062,5.6873650550842285,-144.8365478515625,0.007508688606321812
4000,-96.352783203125,84.26897569619797,24.009994506835938,14.158267974853516,4.812697887420654,-139.34060668945312,0.006863969843834639
4100,-82.16522216796875,68.71531822750114,25.548418045043945,25.680004119873047,6.683762073516846,-140.0839080810547,0.006494952831417322
4200,-79.37837219238281,66.79268671522289,30.137264251708984,16.606727600097656,10.781429290771484,-136.91224670410156,0.008459607139229774
4300,-92.02050018310547,91.49855804248762,25.64175796508789,12.054572105407715,9.279939651489258,-139.00869750976562,0.01193172950297594
4400,-78.93128967285156,80.82291874638469,27.867162704467773,20.642501831054688,9.17890739440918,-136.6299591064453,0.01010128017514944
4500,-93.51235961914062,99.92228891816363,21.172073364257812,15.434471130371094,8.205144882202148,-138.33523559570312,0.011196212843060493
4600,-94.15652465820312,100.17836769102239,23.844785690307617,14.904274940490723,7.869022846221924,-140.78469848632812,0.010089258663356304
4700,-83.44120788574219,94.44964342820408,31.383899688720703,18.989059448242188,7.437764644622803,-141.2564239501953,0.004496440757066011
4800,-83.31671142578125,96.23014171094968,29.355430603027344,15.993606567382812,7.473137855529785,-136.14198303222656,0.0030919855926185846
4900,-85.53646087646484,100.01545452598171,23.239065170288086,15.31251335144043,10.384596824645996,-134.47674560546875,0.004109489731490612
5000,-78.94493103027344,94.05250196526846,29.49989891052246,17.324487686157227,10.103893280029297,-135.88087463378906,0.0076596178114414215
5100,-76.57154846191406,94.95998488020194,27.35659408569336,19.71286964416504,9.16680908203125,-132.8139190673828,0.006104662083089352
5200,-67.85475158691406,85.79502013204448,37.632843017578125,17.412086486816406,12.065051078796387,-134.96922302246094,0.0044939760118722916
5300,-78.58390045166016,99.1517968200198,29.22336769104004,19.191890716552734,8.092175483703613,-135.09805297851562,0.006721088197082281
5400,-89.45426940917969,114.53501867232141,22.983219146728516,17.6398983001709,7.329075336456299,-137.41412353515625,0.007664090022444725
5500,-77.42301940917969,98.93514639765347,31.793685913085938,18.5268497467041,10.352056503295898,-138.1027069091797,0.007099517621099949
5600,-74.01509094238281,98.95961587092876,33.87202453613281,15.600101470947266,11.695985794067383,-135.1963653564453,0.013163130730390549
5700,-67.35023498535156,85.13130478622813,32.9793701171875,17.694164276123047,16.32685661315918,-134.36956787109375,0.018937842920422554
5800,-73.61783599853516,95.44097252265745,28.359481811523438,16.413118362426758,12.364612579345703,-130.77455139160156,0.01949518360197544
5900,-72.0736083984375,94.7454755367472,30.6817569732666,19.244915008544922,10.05854606628418,-132.06459045410156,0.005765307694673538
6000,-61.91020965576172,86.78628231778185,31.77165985107422,27.61600112915039,11.962139129638672,-133.26487731933594,0.0048728929832577705
6100,-79.16184997558594,114.5241125516155,25.285457611083984,20.659366607666016,10.585895538330078,-135.6969451904297,0.004372911527752876
6200,-64.74432373046875,94.5774390757395,27.999370574951172,25.720680236816406,9.46820068359375,-127.94105529785156,0.008472800254821777
6300,-81.16427612304688,107.94558068704464,21.63058853149414,19.739543914794922,11.304439544677734,-133.85385131835938,0.015007566660642624
6400,-70.48475646972656,92.63075865925789,32.52918243408203,21.099821090698242,9.728137969970703,-133.8604278564453,0.018528327345848083
6500,-81.24938201904297,101.99167036137766,29.977487564086914,17.316486358642578,7.781933784484863,-136.33856201171875,0.013264356181025505
6600,-79.01358795166016,108.74444208076702,26.24823760986328,19.670028686523438,10.225024223327637,-135.1642608642578,0.007380115799605846
6700,-64.02543640136719,83.9947455445307,32.97080993652344,19.662233352661133,14.233461380004883,-130.9045867919922,0.012637954205274582
6800,-84.912109375,110.57158529694362,21.871335983276367,12.495497703552246,11.945383071899414,-131.23074340820312,0.006421694997698069
6900,-78.47514343261719,107.30944129060298,23.41251564025879,20.328815460205078,9.491645812988281,-131.71485900878906,0.006736510433256626
7000,-67.62765502929688,100.53281183477021,30.617935180664062,18.687850952148438,9.808269500732422,-126.74884033203125,0.007124622818082571
7100,-66.963134765625,94.78842137402293,28.35980224609375,16.297922134399414,10.478002548217773,-122.10599517822266,0.007140364032238722
7200,-80.22294616699219,110.06640537446478,22.89809799194336,15.313581466674805,9.28603744506836,-127.72886657714844,0.008207188919186592
7300,-71.40217590332031,101.98912783017015,21.52505874633789,16.09253692626953,11.950940132141113,-120.97978210449219,0.009080201387405396
7400,-73.4632568359375,97.24685788392614,21.575759887695312,20.490339279174805,10.107271194458008,-125.64441680908203,0.007788307499140501
7500,-71.85673522949219,87.5739126056064,22.423799514770508,16.120080947875977,11.841861724853516,-122.24765014648438,0.00517233507707715
