#"Step","Potential Energy (kJ/mole)","Temperature (K)","Harmonic Bond Energy (kJ/mol)","Harmonic Angle Energy (kJ/mol)","Periodic Torsion Energy (kJ/mol)","LJ 12-10 Contact Energy (kJ/mol)","LJ 12 Repulsion Energy (kJ/mol)"
100,-160.88525390625,4.336551024878524,1.4022501707077026,0.5553401708602905,0.1755235493183136,-163.02609252929688,0.007705270312726498
200,-156.95501708984375,10.660161876336911,2.7803235054016113,1.2452179193496704,0.5079637765884399,-161.49668884277344,0.00816762913018465
300,-153.05889892578125,14.99559337502115,4.768671989440918,1.9022949934005737,0.6390434503555298,-160.37649536132812,0.007575046271085739
400,-148.90187072753906,19.802432621789734,5.198624610900879,3.0529541969299316,1.1496548652648926,-158.31044006347656,0.007333650253713131
500,-146.0006866455078,25.986293866722495,7.157458305358887,3.0716452598571777,2.07698917388916,-158.31356811523438,0.006790440529584885
600,-142.25985717773438,25.474179333750982,9.251810073852539,4.911154747009277,0.8300735354423523,-157.259033203125,0.006129419896751642
700,-143.86322021484375,34.134614129813464,6.5617265701293945,5.1892876625061035,1.4682526588439941,-157.08819580078125,0.0056966193951666355
800,-135.97769165039062,35.16443485273542,10.139698028564453,5.184010028839111,1.5469697713851929,-152.8551025390625,0.006737435236573219
900,-130.35836791992188,32.840900651844265,13.070292472839355,6.803694725036621,2.344188690185547,-152.58480834960938,0.008257664740085602
1000,-128.82931518554688,35.17656444710508,11.10220718383789,7.046543121337891,2.5829648971557617,-149.5696563720703,0.008616577833890915
1100,-125.94615173339844,41.19328771950199,11.854904174804688,8.187888145446777,4.2270355224609375,-150.22457885742188,0.008588564582169056
1200,-127.77407836914062,49.31506911831606,11.344480514526367,8.307058334350586,3.347310781478882,-150.7801971435547,0.007271294482052326
1300,-122.72782897949219,47.16156430233021,15.440741539001465,8.725471496582031,3.264125347137451,-150.16534423828125,0.007166452705860138
1400,-119.17400360107422,49.36516940900842,16.65286636352539,11.430624008178711,3.064683437347412,-150.3274688720703,0.005296728108078241
1500,-118.17976379394531,56.8868799884919,17.353050231933594,7.193856239318848,3.5133726596832275,-146.2470703125,0.0070365616120398045
1600,-120.70068359375,64.29398071668342,13.051822662353516,9.996574401855469,2.920116901397705,-146.6779327392578,0.008735795505344868
1700,-112.28697967529297,61.61672403033829,13.084796905517578,14.840898513793945,4.086315631866455,-144.3072509765625,0.008261788636446
1800,-112.88442993164062,62.63291927116886,15.553890228271484,12.292884826660156,5.902602672576904,-146.64346313476562,0.009649468585848808
1900,-109.61430358886719,66.5793817286559,16.40196990966797,13.298545837402344,5.769869804382324,-145.09474182128906,0.010059034451842308
2000,-103.02288055419922,64.45018389334938,17.349342346191406,14.006036758422852,7.631742477416992,-142.02183532714844,0.011831721290946007
2100,-107.40071105957031,74.16628529348085,15.507781028747559,16.209625244140625,4.2864298820495605,-143.4119110107422,0.007373793050646782
2200,-105.1546630859375,70.24912407440218,18.510374069213867,16.141002655029297,5.137298583984375,-144.9491729736328,0.005848295520991087
2300,-106.28401184082031,74.47163755647013,17.721940994262695,14.572351455688477,6.991279125213623,-145.57557678222656,0.0060067810118198395
2400,-111.62686157226562,79.69382938490781,14.521125793457031,16.697568893432617,4.2210774421691895,-147.0732421875,0.0066103748977184296
2500,-111.0584945678711,81.7109694585179,15.635924339294434,12.270088195800781,6.220746994018555,-145.1925506591797,0.007298432756215334
2600,-99.78213500976562,73.33272217213114,20.802066802978516,15.881254196166992,6.346901893615723,-142.8236846923828,0.011324407532811165
2700,-99.7218017578125,77.51306882554522,23.961273193359375,15.469682693481445,5.189621925354004,-144.35101318359375,0.008630325086414814
2800,-103.09957885742188,81.75317929991778,20.437110900878906,12.207408905029297,6.596524238586426,-142.34678649902344,0.006175522692501545
2900,-95.42913818359375,78.19083978091287,16.82286834716797,16.949420928955078,7.914507865905762,-137.12234497070312,0.0064232926815748215
3000,-96.83421325683594,83.06475262586154,19.569068908691406,16.98200798034668,6.748425483703613,-140.13919067382812,0.00547318160533905
3100,-93.26972198486328,83.972388475003,16.66199493408203,18.242332458496094,7.908718109130859,-136.0916748046875,0.008913512341678143
3200,-105.46153259277344,89.70296706509293,17.44210433959961,11.062141418457031,6.675670623779297,-140.65890502929688,0.017444433644413948
3300,-91.95574951171875,71.21649029014412,20.04751968383789,18.59679412841797,7.9112443923950195,-138.52589416503906,0.014589773491024971
3400,-97.67181396484375,81.63341269830082,19.163076400756836,14.054498672485352,7.733503818511963,-138.62741088867188,0.004527369514107704
3500,-100.45515441894531,85.66517898947745,18.577585220336914,12.94906997680664,6.653329849243164,-138.639892578125,0.004747443832457066
3600,-88.85426330566406,75.325091683244,22.366680145263672,21.27716827392578,6.1999711990356445,-138.7071533203125,0.00906488485634327
3700,-90.91822814941406,82.50622733996497,24.27505874633789,15.140470504760742,7.774951457977295,-138.12599182128906,0.017280112951993942
3800,-86.61140441894531,78.95500900539591,28.281301498413086,14.584930419921875,6.726222991943359,-136.21676635742188,0.012910736724734306
3900,-83.82299041748047,75.460252068732,25.135099411010742,19.703937530517578,8.366079330444336,-137.03778076171875,0.009666038677096367
4000,-97.98452758789062,96.2591131849721,21.047466278076172,12.807435989379883,7.034208297729492,-138.87985229492188,0.006216839887201786
4100,-85.67546844482422,82.2158913045208,28.977293014526367,15.47675895690918,8.029424667358398,-138.1632080078125,0.004267227835953236
4200,-93.392333984375,90.10294736926402,20.677963256835938,14.475679397583008,7.223745346069336,-135.77621459960938,0.006491851061582565
4300,-86.80753326416016,76.6853697752324,24.209991455078125,16.573883056640625,8.125727653503418,-135.72804260253906,0.010908270254731178
4400,-95.27608489990234,82.69010204988561,18.93985366821289,16.36106300354004,9.999446868896484,-140.5912628173828,0.014811416156589985
4500,-91.09246826171875,75.55190745124638,18.465927124023438,17.147117614746094,10.253684997558594,-136.9718017578125,0.012596421875059605
4600,-91.6286392211914,77.3612529489704,26.848169326782227,11.496212005615234,10.63698959350586,-140.6153564453125,0.0053422716446220875
4700,-103.98768615722656,87.26402966670598,17.940885543823242,12.904508590698242,7.6735334396362305,-142.5108642578125,0.00425573717802763
4800,-93.47933197021484,73.26191841303476,21.903614044189453,14.74521255493164,8.98674201965332,-139.12066650390625,0.0057664974592626095
4900,-99.15902709960938,77.9426610157346,20.164039611816406,12.661933898925781,5.16424560546875,-137.1637420654297,0.014504680410027504
5000,-98.91577911376953,76.37327406951042,17.9166259765625,13.418333053588867,8.05431079864502,-138.31463623046875,0.009573549032211304
5100,-100.1707763671875,81.3007043288608,15.875263214111328,16.04352569580078,8.885404586791992,-140.98208618164062,0.007104505784809589
5200,-95.51313781738281,82.02007816799046,22.805416107177734,11.934738159179688,7.773256778717041,-138.033203125,0.006660541519522667
5300,-95.72430419921875,81.17445714018108,17.813976287841797,14.714099884033203,6.292182922363281,-134.5526580810547,0.008102566003799438
5400,-85.49732971191406,60.591161569269524,23.761428833007812,14.340489387512207,8.307449340820312,-131.91648864746094,0.00979582965373993
5500,-89.01724243164062,70.51483770236307,23.812572479248047,13.01512336730957,7.082050323486328,-132.93885803222656,0.011870424263179302
5600,-95.86286926269531,85.96785490382725,21.362796783447266,13.009085655212402,8.25802993774414,-138.50372314453125,0.010944733396172523
5700,-97.72758483886719,85.47911540870524,19.869539260864258,12.919658660888672,4.925836086273193,-135.45635986328125,0.013736017048358917
5800,-89.5982894897461,75.04665106166354,22.54926872253418,18.957027435302734,6.249908924102783,-137.37083435058594,0.016333794221282005
5900,-100.17028045654297,95.40279632099279,22.582448959350586,10.749238967895508,5.645283222198486,-139.16709899902344,0.01984662190079689
6000,-87.70354461669922,78.12550341975144,27.470157623291016,16.271183013916016,6.211601257324219,-137.6667022705078,0.010214556008577347
6100,-91.79375457763672,88.14395574904076,25.705123901367188,12.904121398925781,5.385788440704346,-135.7936248779297,0.004829542711377144
6200,-81.27815246582031,74.5014023766964,24.865219116210938,18.20785903930664,6.751891136169434,-131.111083984375,0.00796132069081068
6300,-89.91278839111328,80.53098646014483,22.192001342773438,13.880355834960938,7.983386039733887,-133.978515625,0.009986537508666515
6400,-87.38128662109375,79.45141910688643,22.55947494506836,12.510167121887207,9.507368087768555,-131.96678161621094,0.00846935249865055
6500,-97.70072174072266,89.17083248845928,20.36031723022461,12.337478637695312,4.656703948974609,-135.06130981445312,0.00608831737190485
6600,-96.6806869506836,94.60271145360666,20.392353057861328,13.492420196533203,8.369400024414062,-138.93887329101562,0.004023267887532711
6700,-79.58699035644531,74.90817391554016,26.126750946044922,15.394646644592285,12.983552932739258,-134.097412109375,0.0054577989503741264
6800,-95.88153076171875,98.04812799142405,20.02853775024414,15.796906471252441,7.84645414352417,-139.55935668945312,0.005928238853812218
6900,-98.65630340576172,105.45260972130407,23.182926177978516,14.620293617248535,4.569025039672852,-141.03744506835938,0.008886808529496193
7000,-82.05998992919922,82.16483039583463,23.889497756958008,19.161521911621094,7.902620315551758,-133.02989196777344,0.01625843718647957
7100,-100.79324340820312,97.93598898342962,16.9785099029541,13.877252578735352,6.134640693664551,-137.7937469482422,0.010093224234879017
7200,-98.00810241699219,98.58987830638387,18.01393699645996,16.60896873474121,4.875468730926514,-137.515869140625,0.00939770694822073
7300,-83.11587524414062,78.67913481099296,21.90330696105957,19.472976684570312,10.893547058105469,-135.39151000976562,0.005804850719869137
7400,-84.06375122070312,85.33224121872549,24.972261428833008,11.137971878051758,10.670425415039062,-130.8495635986328,0.005159602966159582
7500,-94.14306640625,93.94074529279396,19.147890090942383,15.76356315612793,7.6320343017578125,-136.69229125976562,0.005735580809414387
7600,-81.0564956665039,78.36975368746246,24.063127517700195,19.82156753540039,8.145994186401367,-133.096923828125,0.009739255532622337
7700,-87.94427490234375,82.71373038501706,28.455482482910156,16.895538330078125,6.222373008728027,-139.52650451660156,0.008833742700517178
7800,-92.72523498535156,92.32051250161355,23.519256591796875,15.108346939086914,7.844208717346191,-139.20957946777344,0.012540118768811226
