#"Step","Potential Energy (kJ/mole)","Temperature (K)","Harmonic Bond Energy (kJ/mol)","Harmonic Angle Energy (kJ/mol)","Periodic Torsion Energy (kJ/mol)","LJ 12-10 Contact Energy (kJ/mol)","LJ 12 Repulsion Energy (kJ/mol)"
100,-156.6385498046875,5.826050919520835,1.6265742778778076,1.1926181316375732,0.3573123812675476,-162.6526641845703,2.8376190662384033
200,-151.8260498046875,11.577112335346058,2.986595869064331,2.246983766555786,0.76131272315979,-160.70684814453125,2.885904312133789
300,-147.12355041503906,15.011431041346096,4.387628555297852,2.992863416671753,0.7423065900802612,-158.0240936279297,2.777749538421631
400,-144.17359924316406,20.65984372389427,5.771724700927734,3.4205522537231445,1.0096237659454346,-157.3729248046875,2.9974184036254883
500,-138.65335083007812,23.173222297572604,5.847353935241699,6.532890319824219,2.028287887573242,-155.40277099609375,2.3408946990966797
600,-139.81105041503906,31.34735030857528,6.699517726898193,5.319399833679199,1.669830322265625,-156.14515686035156,2.6453561782836914
700,-137.93115234375,39.9123738181587,6.945333480834961,4.905238151550293,2.054072380065918,-154.40829467773438,2.572500228881836
800,-128.80081176757812,36.802148971825886,8.080158233642578,9.318248748779297,2.8508503437042236,-151.72152709960938,2.6714680194854736
900,-127.88475799560547,37.266412901217706,10.16469669342041,8.136001586914062,2.495511054992676,-151.28271484375,2.6017372608184814
1000,-130.68319702148438,46.09379829705548,7.9508466720581055,8.679204940795898,2.2406556606292725,-151.93521118164062,2.3813037872314453
1100,-130.12782287597656,46.823494540518645,9.491436958312988,6.72254753112793,2.665874481201172,-151.61570739746094,2.6080403327941895
1200,-125.04619598388672,45.690110703496245,11.042379379272461,8.482609748840332,2.303983449935913,-150.2776336669922,3.4024665355682373
1300,-122.0004653930664,49.03974226176138,13.449320793151855,8.009736061096191,2.744485855102539,-148.71664428710938,2.512629270553589
1400,-122.41434478759766,46.908783147967945,10.257893562316895,9.200983047485352,3.9045357704162598,-148.359130859375,2.5813841819763184
1500,-119.4181900024414,52.09643621646863,10.909082412719727,10.691777229309082,4.020756721496582,-147.16954040527344,2.1297357082366943
1600,-120.90093231201172,61.82072413154909,12.063502311706543,8.636466979980469,4.047038555145264,-148.23321533203125,2.5852701663970947
