#"Step","Potential Energy (kJ/mole)","Temperature (K)","Harmonic Bond Energy (kJ/mol)","Harmonic Angle Energy (kJ/mol)","Periodic Torsion Energy (kJ/mol)","LJ 12-10 Contact Energy (kJ/mol)","LJ 12 Repulsion Energy (kJ/mol)"
2000,-94.12710571289062,74.1961743727511,17.80242156982422,17.016904830932617,8.004880905151367,-136.95797729492188,0.006663828622549772
4000,-65.10716247558594,119.86679263996405,21.69908905029297,19.681644439697266,10.791437149047852,-117.2868881225586,0.007557291071861982
6000,-41.80537414550781,132.54979855794895,22.899599075317383,31.158855438232422,17.95126724243164,-113.82760620117188,0.01250511035323143
8000,-19.04235076904297,123.39616049956929,33.19796371459961,25.391620635986328,22.89270782470703,-100.52864074707031,0.00400302279740572
10000,-47.063777923583984,108.11689567513571,36.86806106567383,21.657459259033203,15.766656875610352,-121.3610610961914,0.005104823969304562
12000,-6.66786003112793,129.41481934553585,51.690025329589844,29.96182632446289,18.460769653320312,-106.78483581542969,0.0043532969430089
14000,-41.22581481933594,155.85454402211514,30.40892219543457,24.509061813354492,17.498924255371094,-113.65013122558594,0.007411180064082146
16000,-14.049720764160156,126.05907960391718,36.56505584716797,31.704456329345703,18.696086883544922,-101.01806640625,0.0027519555296748877
18000,-31.392545700073242,134.71557634412443,46.618125915527344,29.26384925842285,10.786358833312988,-118.07493591308594,0.01405606884509325
20000,-35.02286911010742,139.61054153863904,33.51344299316406,25.364486694335938,20.276275634765625,-114.18061828613281,0.0035342173650860786
22000,1.2410812377929688,141.55625655793287,40.80138397216797,39.252716064453125,20.634016036987305,-99.45317840576172,0.006143558770418167
24000,13.536216735839844,146.0991194137592,38.36096954345703,29.94521713256836,33.76728057861328,-88.65047454833984,0.11321734637022018
26000,25.17877769470215,135.71485801739226,35.8669319152832,28.68768310546875,30.236480712890625,-69.69844818115234,0.0861339271068573
28000,18.924711227416992,133.53702710395106,40.915252685546875,31.871198654174805,32.335201263427734,-86.20586395263672,0.008929191157221794
30000,11.400405883789062,131.26962453657913,37.69356155395508,32.52937316894531,33.478111267089844,-92.31442260742188,0.013775923289358616
32000,4.826745986938477,137.70365269139378,27.941301345825195,42.90520477294922,35.932281494140625,-102.00309753417969,0.0510534793138504
34000,11.654581069946289,153.57720073122508,33.536556243896484,29.116836547851562,35.86601638793945,-86.9272689819336,0.062441445887088776
36000,-11.106069564819336,165.63067209887507,30.5085391998291,37.44260787963867,30.49701499938965,-109.57868194580078,0.024453889578580856
38000,-20.287960052490234,139.33396958191224,23.641204833984375,33.39208221435547,20.265199661254883,-97.64065551757812,0.05421165004372597
40000,-36.477455139160156,142.2460949781482,30.592716217041016,28.915002822875977,19.151195526123047,-115.1788330078125,0.042465634644031525
42000,-9.445693969726562,120.77003163062633,23.573135375976562,50.68157196044922,26.134368896484375,-109.84148406982422,0.006714205257594585
44000,-19.559337615966797,131.70890893219863,29.970842361450195,38.31796646118164,23.236215591430664,-111.17279052734375,0.08843161910772324
46000,-38.55501174926758,129.486765331998,28.44489860534668,29.571163177490234,19.589794158935547,-116.16587829589844,0.005009251181036234
48000,-2.2168426513671875,112.93098734879788,35.4852294921875,26.92020034790039,31.200031280517578,-95.8663330078125,0.04402231425046921
50000,-1.519815444946289,133.55159408726027,40.33217239379883,31.223133087158203,30.36495590209961,-103.45938110351562,0.01930227130651474
52000,1.8087425231933594,142.0967451656769,43.820247650146484,36.64510726928711,35.339942932128906,-114.03211975097656,0.035565901547670364
54000,7.130109786987305,116.91753290635522,35.34013748168945,35.50923156738281,36.53058624267578,-100.27645874023438,0.02660725638270378
56000,4.456184387207031,124.65359511589146,55.24272155761719,30.47161102294922,25.613597869873047,-106.95413208007812,0.08239064365625381
58000,-33.49747085571289,157.5518747708887,42.03052520751953,22.836557388305664,17.391677856445312,-115.76200103759766,0.005772738717496395
60000,-27.675813674926758,158.76670765190306,36.693721771240234,22.850765228271484,30.1802978515625,-117.41707611083984,0.01647658832371235
62000,-18.161209106445312,157.02645974101776,34.43243408203125,36.4033317565918,21.388935089111328,-110.40399169921875,0.018079444766044617
64000,-12.192422866821289,150.41947255537636,53.16786575317383,26.352657318115234,21.142330169677734,-112.85980987548828,0.004528560675680637
66000,-11.289937019348145,137.38601789982684,33.24629592895508,26.386611938476562,30.02822494506836,-101.1895751953125,0.2385130673646927
68000,-35.60411834716797,147.32551794425137,39.17829132080078,28.78339195251465,16.680442810058594,-120.25851440429688,0.012267953716218472
70000,-32.988914489746094,158.3380808589015,27.974023818969727,22.493053436279297,23.57127571105957,-107.05413055419922,0.02686144784092903
72000,-29.771142959594727,137.19148558728827,36.846736907958984,27.77452278137207,15.847627639770508,-110.26681518554688,0.02678496018052101
74000,-31.323760986328125,140.42910277002562,41.13166046142578,27.61334991455078,14.08304214477539,-114.1615219116211,0.009714811109006405
76000,-17.442352294921875,159.75367812142926,30.53253936767578,25.918670654296875,25.717147827148438,-100.2320327758789,0.6213208436965942
78000,-31.523502349853516,135.37566906088946,23.310123443603516,36.43376159667969,16.096538543701172,-107.390380859375,0.026464169844985008
80000,-8.169353485107422,123.77331537320076,35.35652160644531,31.366619110107422,22.688640594482422,-97.58743286132812,0.006304610054939985
82000,-26.206125259399414,111.57481458445469,42.299407958984375,34.30918884277344,12.679868698120117,-115.50865173339844,0.014054257422685623
84000,-36.6866455078125,132.8499797330312,40.366493225097656,23.10262680053711,14.764785766601562,-114.92791748046875,0.007366757839918137
86000,-33.532920837402344,130.8323474024392,31.911479949951172,23.73267364501953,19.945775985717773,-109.25418090820312,0.13133426010608673
88000,-32.93817901611328,139.0694411940631,34.974361419677734,30.48361587524414,13.73447036743164,-112.14266204833984,0.012038707733154297
90000,-42.257179260253906,120.14868861880583,27.55722999572754,28.20206069946289,18.772184371948242,-116.79924011230469,0.010575449094176292
92000,-44.1728630065918,141.7957228524508,32.61417770385742,30.712663650512695,14.85421371459961,-122.37568664550781,0.021765345707535744
94000,-42.46025848388672,137.20614815447746,42.05165100097656,25.398590087890625,13.832477569580078,-124.1719970703125,0.42901456356048584
